,Technology,Test_type,Data Speed(Mbps),Signal_strength
249856,3G,Download,1.51,-91
249865,3G,Upload,0.14,-91
249892,3G,Download,0.62,-87
249893,3G,Download,5.17,-75
249917,3G,Upload,0.01,-87
249918,3G,Upload,0.21,-77
249948,3G,Upload,2.05,-79
249949,3G,Upload,1.83,-83
249961,3G,Upload,0.3,-93
249962,3G,Upload,0.17,-69
250036,3G,Download,3.37,-77
250041,3G,Download,3.64,-69
250088,3G,Upload,3.25,-79
250093,3G,Upload,3.71,-69
250176,3G,Upload,1.42,-93
250177,3G,Upload,0.0,-91
250178,3G,Upload,0.53,-89
250183,3G,Download,3.29,-75
250184,3G,Download,2.89,-91
250185,3G,Download,2.12,-83
250186,3G,Download,0.65,-99
250187,3G,Download,0.9,-95
250188,3G,Download,1.19,-77
250193,3G,Download,0.53,-89
250194,3G,Download,5.76,-99
250198,3G,Download,1.34,-101
250203,3G,Upload,1.68,-87
250204,3G,Upload,2.21,-85
250205,3G,Upload,1.02,-85
250206,3G,Upload,0.03,-97
250207,3G,Upload,0.4,-101
250212,3G,Upload,0.09,-93
250213,3G,Upload,1.08,-107
250216,3G,Upload,0.14,-99
250217,3G,Upload,0.06,-109
250239,3G,Download,3.12,-87
250240,3G,Upload,1.37,-71
250241,3G,Download,0.01,-79
250242,3G,Download,0.02,-79
250243,3G,Download,0.14,-75
250244,3G,Download,0.22,-73
250245,3G,Download,0.23,-81
250246,3G,Download,0.22,-59
250247,3G,Upload,2.01,-85
250248,3G,Upload,2.07,-75
250249,3G,Upload,1.57,-75
250250,3G,Upload,1.13,-85
250251,3G,Upload,2.19,-97
250252,3G,Upload,2.66,-59
250454,3G,Download,0.4,-87
250459,3G,Upload,0.18,-83
250576,3G,Download,18.01,-73
250588,3G,Upload,1.38,-61
250686,3G,Download,0.31,-85
250690,3G,Upload,1.78,-85
250699,3G,Download,0.73,-89
250700,3G,Download,5.33,-87
250701,3G,Download,1.59,-103
250704,3G,Download,3.25,-95
250731,3G,Download,0.37,-79
250753,3G,Download,4.81,na
250754,3G,Download,5.88,na
250755,3G,Upload,3.24,-61
250756,3G,Upload,3.54,na
250763,3G,Download,0.52,-85
250776,3G,Upload,1.26,-85
250785,3G,Download,1.1,-73
250786,3G,Download,3.6,-91
250787,3G,Upload,1.53,-87
250788,3G,Upload,3.63,-91
250789,3G,Download,13.08,-75
250790,3G,Upload,2.71,-71
250843,3G,Download,0.56,-109
250844,3G,Download,1.36,-95
250845,3G,Upload,0.39,-109
250846,3G,Upload,1.47,-95
250885,3G,Download,3.91,-75
250888,3G,Download,0.75,-69
250889,3G,Download,1.18,-69
250890,3G,Upload,1.73,-75
250893,3G,Upload,1.4,-69
250894,3G,Upload,1.47,-71
250895,3G,Download,2.97,-81
250896,3G,Download,4.14,-81
250897,3G,Download,4.08,-89
250898,3G,Download,3.75,-89
250899,3G,Download,2.36,-93
250900,3G,Download,2.87,-85
250901,3G,Upload,0.0,-89
250902,3G,Upload,0.39,-81
250903,3G,Upload,0.28,-89
250904,3G,Upload,0.91,-89
250905,3G,Upload,0.86,-99
250906,3G,Upload,1.39,-87
251072,3G,Download,1.33,-85
251073,3G,Upload,0.88,-85
251094,3G,Download,0.0,-93
251095,3G,Upload,0.81,-95
251096,3G,Upload,0.97,-79
251175,3G,Download,0.26,-85
251178,3G,Download,0.31,-69
251179,3G,Download,0.4,-65
251180,3G,Download,0.39,-63
251181,3G,Download,0.46,-63
251185,3G,Upload,1.67,-89
251188,3G,Upload,2.03,-71
251189,3G,Upload,2.27,-67
251190,3G,Upload,2.51,-65
251191,3G,Upload,2.58,-65
251270,3G,Download,0.08,-113
251271,3G,Download,0.3,-113
251272,3G,Download,0.79,-113
251273,3G,Download,0.63,-113
251274,3G,Download,0.62,-113
251275,3G,Download,0.2,-113
251276,3G,Download,0.22,-113
251277,3G,Download,1.9,-113
251278,3G,Download,0.21,na
251279,3G,Download,0.87,na
251280,3G,Download,0.24,na
251281,3G,Download,1.25,-113
251282,3G,Download,0.2,-113
251283,3G,Upload,0.54,-113
251284,3G,Upload,0.29,-113
251285,3G,Upload,0.21,-113
251286,3G,Upload,0.45,-113
251287,3G,Upload,0.81,-113
251288,3G,Upload,0.34,-113
251289,3G,Upload,1.41,-113
251290,3G,Upload,1.75,-113
251291,3G,Upload,0.82,na
251292,3G,Upload,0.01,na
251293,3G,Upload,0.43,na
251294,3G,Upload,0.82,-113
251295,3G,Upload,0.55,-113
251346,3G,Download,1.49,-95
251347,3G,Download,1.09,-101
251348,3G,Download,0.69,-85
251349,3G,Upload,1.03,-95
251350,3G,Upload,0.28,-97
251351,3G,Upload,0.94,-85
251384,3G,Download,0.09,-75
251385,3G,Download,0.27,-75
251386,3G,Download,0.57,-73
251387,3G,Upload,0.59,-75
251388,3G,Upload,0.0,-73
251389,3G,Upload,0.37,-75
251400,3G,Download,2.87,-83
251401,3G,Download,0.63,-91
251412,3G,Upload,0.1,-83
251413,3G,Upload,0.1,-91
251514,3G,Download,0.5,-97
251516,3G,Download,0.92,-97
251517,3G,Download,1.29,-87
251518,3G,Upload,0.41,-97
251520,3G,Upload,0.57,-95
251521,3G,Upload,3.2,-89
251529,3G,Download,2.94,-85
251530,3G,Download,0.76,-65
251531,3G,Upload,2.21,-85
251532,3G,Upload,0.78,-65
251608,3G,Download,0.33,-97
251611,3G,Upload,1.06,-93
251686,3G,Upload,0.3,-95
251761,3G,Download,4.58,-87
251762,3G,Upload,1.21,-87
251801,3G,Download,0.01,-87
251866,3G,Download,3.89,-101
251867,3G,Upload,0.6,-101
251908,3G,Upload,3.12,-65
251929,3G,Download,2.93,-71
251932,3G,Upload,0.28,-71
251962,3G,Download,0.02,-87
251963,3G,Download,0.04,-87
251964,3G,Download,0.32,-85
251965,3G,Download,0.18,-95
251966,3G,Upload,0.66,-87
251967,3G,Upload,0.73,-87
251968,3G,Upload,1.41,-85
251969,3G,Upload,1.27,-99
252072,3G,Download,0.58,-85
252080,3G,Upload,0.11,-85
252085,3G,Download,2.37,-91
252086,3G,Download,2.95,-91
252087,3G,Download,3.14,-83
252088,3G,Upload,2.0,-91
252089,3G,Upload,1.14,-91
252090,3G,Upload,1.33,-83
252094,3G,Download,6.35,-75
252127,3G,Download,0.2,-83
252128,3G,Download,0.34,-91
252129,3G,Download,0.36,-91
252130,3G,Download,3.13,-79
252131,3G,Download,3.5,-79
252150,3G,Download,1.96,-85
252151,3G,Download,0.13,-85
252152,3G,Download,0.22,-73
252153,3G,Upload,1.72,-85
252154,3G,Upload,0.79,-75
252155,3G,Upload,0.11,-73
252158,3G,Download,1.56,-71
252159,3G,Upload,0.03,-71
252188,3G,Download,0.89,-77
252189,3G,Download,0.62,-75
252190,3G,Upload,0.28,-77
252191,3G,Upload,0.56,-81
252351,3G,Download,1.8,-69
252354,3G,Upload,1.1,-69
252465,3G,Download,3.49,-83
252467,3G,Upload,1.36,-83
252474,3G,Download,12.95,na
252475,3G,Download,1.24,-97
252480,3G,Download,1.74,-87
252506,3G,Download,5.52,-91
252507,3G,Upload,1.57,-91
252514,3G,Download,0.75,-97
252515,3G,Download,4.09,-91
252516,3G,Download,0.37,-81
252517,3G,Upload,0.24,-101
252518,3G,Upload,0.94,-87
252519,3G,Upload,0.02,-81
252520,3G,Download,1.4,-93
252521,3G,Upload,0.62,-95
252580,3G,Download,0.27,-109
252583,3G,Upload,0.03,-107
252614,3G,Download,4.38,-93
252616,3G,Download,3.48,-107
252618,3G,Download,3.66,-101
252621,3G,Download,3.76,-103
252623,3G,Download,3.37,-93
252624,3G,Upload,1.34,-93
252626,3G,Upload,0.31,-107
252628,3G,Upload,1.39,-101
252631,3G,Upload,1.48,-103
252633,3G,Upload,1.22,-93
252679,3G,Upload,1.66,na
252749,3G,Download,3.68,-73
252750,3G,Download,6.39,-75
252751,3G,Upload,1.8,-75
252752,3G,Upload,1.52,-65
252776,3G,Download,5.58,-87
252777,3G,Upload,0.95,-85
252855,3G,Download,0.13,-89
252856,3G,Download,0.07,-93
252866,3G,Download,0.34,-103
252873,3G,Upload,0.64,-95
252874,3G,Upload,0.39,-87
252884,3G,Upload,0.39,-107
252893,3G,Download,0.05,-83
252894,3G,Download,1.52,-87
252895,3G,Download,0.57,-87
252896,3G,Download,7.99,-65
252897,3G,Download,6.8,-67
252898,3G,Download,3.56,-91
252899,3G,Upload,1.67,-91
252900,3G,Upload,1.7,-87
252901,3G,Upload,0.75,-87
252902,3G,Upload,1.74,-65
252903,3G,Upload,1.89,-61
252904,3G,Upload,1.79,-83
252929,3G,Upload,4.14,-83
252999,3G,Download,0.33,-83
253016,3G,Upload,0.46,-83
253077,3G,Download,0.87,-83
253095,3G,Download,2.24,-95
253099,3G,Download,1.67,-67
253100,3G,Download,0.52,-65
253101,3G,Download,0.31,-77
253102,3G,Download,0.28,-77
253103,3G,Download,0.24,-85
253104,3G,Download,0.38,-75
253105,3G,Download,0.27,-89
253106,3G,Download,0.05,-83
253107,3G,Download,0.1,-81
253108,3G,Download,0.3,-87
253117,3G,Download,12.2,na
253119,3G,Upload,1.65,-93
253123,3G,Upload,1.62,-67
253124,3G,Upload,0.77,-65
253125,3G,Upload,1.22,-73
253126,3G,Upload,1.01,-73
253127,3G,Upload,1.14,-87
253128,3G,Upload,0.89,-75
253129,3G,Upload,1.69,-95
253130,3G,Upload,0.7,-87
253131,3G,Upload,0.75,-81
253132,3G,Upload,0.85,-87
253141,3G,Upload,2.18,na
253145,3G,Download,0.22,-69
253146,3G,Download,0.96,-67
253147,3G,Upload,0.72,-67
253148,3G,Upload,0.33,-63
253151,3G,Download,1.62,-95
253152,3G,Upload,1.03,-93
253164,3G,Upload,0.06,-85
253194,3G,Upload,1.36,-105
253196,3G,Upload,3.3,-67
253202,3G,Upload,1.28,-65
253236,3G,Download,4.96,-73
253242,3G,Download,4.06,-89
253252,3G,Download,0.53,-99
253259,3G,Download,1.39,-91
253265,3G,Download,0.68,-91
253273,3G,Upload,1.19,-73
253279,3G,Upload,1.04,-85
253289,3G,Upload,0.65,-97
253290,3G,Upload,0.59,-95
253296,3G,Upload,0.28,-91
253302,3G,Upload,0.48,-91
253361,3G,Download,0.96,-73
253368,3G,Download,1.37,-71
253371,3G,Download,2.14,-73
253373,3G,Upload,1.14,-75
253380,3G,Upload,1.4,-89
253383,3G,Upload,2.88,-77
253404,3G,Download,0.21,-85
253406,3G,Upload,0.88,-85
253456,3G,Download,0.88,-63
253492,3G,Upload,1.59,-63
253526,3G,Download,4.55,-69
253527,3G,Upload,2.54,-71
253653,3G,Download,0.4,-113
253668,3G,Download,0.32,-113
253669,3G,Download,0.79,-113
253670,3G,Download,0.69,-113
253671,3G,Download,0.63,-113
253672,3G,Download,0.56,-113
253673,3G,Download,0.63,-113
253674,3G,Download,0.62,-113
253675,3G,Download,3.0,-113
253676,3G,Download,2.65,-113
253677,3G,Download,7.21,-113
253678,3G,Download,2.77,-113
253679,3G,Download,0.47,-113
253680,3G,Download,0.5,-113
253681,3G,Download,0.34,-113
253682,3G,Download,1.05,-113
253683,3G,Download,1.83,-113
253684,3G,Download,1.58,-113
253685,3G,Download,1.36,-113
253695,3G,Download,2.58,-113
253696,3G,Download,1.84,-113
253704,3G,Download,11.73,-113
253705,3G,Download,3.24,-113
253706,3G,Download,6.11,-113
253707,3G,Download,0.01,-113
253708,3G,Download,0.02,-113
253709,3G,Download,1.98,-113
253720,3G,Download,0.42,-113
253725,3G,Download,5.4,-113
253726,3G,Download,3.64,-113
253727,3G,Download,2.94,-113
253728,3G,Download,3.56,-113
253729,3G,Download,0.12,-113
253730,3G,Download,1.39,-113
253731,3G,Download,2.78,-113
253732,3G,Download,2.13,-113
253733,3G,Download,1.0,-113
253734,3G,Download,1.24,-113
253735,3G,Download,5.1,-113
253736,3G,Download,3.91,-113
253737,3G,Download,3.46,-113
253738,3G,Download,10.48,-113
253739,3G,Download,8.93,-113
253740,3G,Download,5.96,-113
253741,3G,Download,5.22,-113
253742,3G,Download,3.05,-113
253743,3G,Download,2.22,-113
253744,3G,Download,2.8,-113
253745,3G,Download,2.06,-113
253746,3G,Download,1.12,-113
253750,3G,Download,2.34,-113
253751,3G,Download,2.93,-113
253752,3G,Download,2.47,-113
253760,3G,Download,3.21,-113
253805,3G,Upload,0.01,-113
253820,3G,Upload,0.88,-113
253821,3G,Upload,0.31,-113
253822,3G,Upload,0.63,-113
253823,3G,Upload,0.02,-113
253824,3G,Upload,0.25,-113
253825,3G,Upload,0.07,-113
253826,3G,Upload,0.0,-113
253827,3G,Upload,1.6,-113
253828,3G,Upload,0.46,-113
253829,3G,Upload,1.38,-113
253830,3G,Upload,1.03,-113
253831,3G,Upload,0.01,-113
253832,3G,Upload,1.39,-113
253833,3G,Upload,0.46,-113
253834,3G,Upload,0.97,-113
253835,3G,Upload,0.92,-113
253836,3G,Upload,0.52,-113
253837,3G,Upload,0.46,-113
253847,3G,Upload,1.81,-113
253848,3G,Upload,0.86,-113
253856,3G,Upload,3.09,-113
253857,3G,Upload,2.95,-113
253858,3G,Upload,1.01,-113
253859,3G,Upload,0.24,-113
253860,3G,Upload,0.46,-113
253861,3G,Upload,1.5,-113
253872,3G,Upload,0.46,-113
253877,3G,Upload,1.81,-113
253878,3G,Upload,2.68,-113
253879,3G,Upload,2.3,-113
253880,3G,Upload,2.9,-113
253881,3G,Upload,1.07,-113
253882,3G,Upload,1.92,-113
253883,3G,Upload,1.6,-113
253884,3G,Upload,0.92,-113
253885,3G,Upload,1.34,-113
253886,3G,Upload,1.06,-113
253887,3G,Upload,2.61,-113
253888,3G,Upload,2.68,-113
253889,3G,Upload,2.36,-113
253890,3G,Upload,2.93,-113
253891,3G,Upload,2.84,-113
253892,3G,Upload,2.61,-113
253893,3G,Upload,2.2,-113
253894,3G,Upload,2.27,-113
253895,3G,Upload,2.31,-113
253896,3G,Upload,2.2,-113
253897,3G,Upload,0.91,-113
253898,3G,Upload,2.07,-113
253902,3G,Upload,0.6,-113
253903,3G,Upload,1.59,-113
253904,3G,Upload,1.15,-113
253912,3G,Upload,0.8,-113
253993,3G,Upload,10.29,-73
254055,3G,Download,1.33,-103
254057,3G,Upload,0.06,-103
254065,3G,Download,0.64,-77
254066,3G,Download,0.58,-71
254077,3G,Upload,0.09,-69
254078,3G,Upload,0.01,-73
254090,3G,Download,2.23,-99
254091,3G,Download,1.34,-105
254092,3G,Upload,0.45,-99
254093,3G,Upload,0.49,-105
254321,3G,Download,3.33,-85
254322,3G,Upload,2.85,-67
254332,3G,Download,0.36,-87
254333,3G,Upload,1.8,-87
254341,3G,Download,0.02,-85
254342,3G,Upload,0.65,-85
254354,3G,Upload,0.55,-91
254355,3G,Upload,0.0,-91
254356,3G,Upload,2.89,-91
254357,3G,Upload,2.23,-85
254358,3G,Upload,0.82,-91
254505,3G,Download,1.42,-113
254509,3G,Upload,0.0,-113
254568,3G,Download,3.22,-101
254569,3G,Download,4.85,-101
254571,3G,Upload,0.07,-101
254572,3G,Upload,0.6,-101
254577,3G,Upload,0.63,-89
254579,3G,Upload,0.64,-73
254580,3G,Upload,1.16,-77
254581,3G,Upload,1.09,-71
254582,3G,Upload,1.24,-75
254592,3G,Download,0.88,-91
254593,3G,Download,0.55,-85
254594,3G,Download,0.11,-85
254595,3G,Download,0.29,-85
254624,3G,Upload,0.32,-85
254625,3G,Upload,0.0,-85
254626,3G,Upload,1.07,-85
254627,3G,Upload,1.03,-85
254713,3G,Download,0.45,-97
254714,3G,Download,0.05,-91
254715,3G,Upload,1.64,-93
254716,3G,Upload,1.82,-91
254768,3G,Download,7.93,-85
254771,3G,Download,6.78,-85
254772,3G,Download,1.23,-85
254773,3G,Upload,1.97,-85
254774,3G,Upload,1.01,-85
254775,3G,Download,11.15,-77
254776,3G,Download,8.32,-75
254777,3G,Download,7.75,-77
254778,3G,Download,9.58,-69
254779,3G,Download,8.57,-65
254780,3G,Download,0.8,-67
254781,3G,Download,0.52,-71
254782,3G,Download,0.83,-75
254783,3G,Download,0.26,-77
254784,3G,Download,0.06,-79
254785,3G,Download,0.22,-71
254786,3G,Download,0.49,-75
254787,3G,Download,0.45,-75
254788,3G,Download,0.31,-77
254789,3G,Download,0.34,-69
254790,3G,Download,0.36,-73
254791,3G,Download,0.37,-69
254792,3G,Download,0.2,-69
254793,3G,Download,0.0,-85
254794,3G,Download,0.14,-85
254795,3G,Download,0.17,-75
254796,3G,Download,0.14,-79
254797,3G,Download,0.07,-79
254798,3G,Download,0.11,-87
254799,3G,Download,0.0,-85
254800,3G,Download,0.3,-89
254801,3G,Download,0.05,-85
254802,3G,Download,0.43,-69
254803,3G,Download,1.32,-71
254804,3G,Upload,3.75,-77
254805,3G,Upload,2.63,-77
254806,3G,Upload,1.64,-79
254807,3G,Upload,1.75,-71
254808,3G,Upload,1.58,-63
254809,3G,Upload,2.35,-65
254810,3G,Upload,1.05,-71
254811,3G,Upload,1.16,-75
254812,3G,Upload,0.96,-77
254813,3G,Upload,1.4,-79
254814,3G,Upload,1.06,-71
254815,3G,Upload,0.8,-75
254816,3G,Upload,1.22,-71
254817,3G,Upload,1.08,-77
254818,3G,Upload,1.27,-69
254819,3G,Upload,1.08,-71
254820,3G,Upload,0.55,-69
254821,3G,Upload,0.59,-69
254822,3G,Upload,0.69,-85
254823,3G,Upload,0.73,-85
254824,3G,Upload,0.55,-75
254825,3G,Upload,0.62,-81
254826,3G,Upload,0.46,-79
254827,3G,Upload,0.78,-85
254828,3G,Upload,0.88,-89
254829,3G,Upload,1.25,-85
254830,3G,Upload,0.62,-85
254831,3G,Upload,0.72,-65
254832,3G,Upload,1.83,-73
254835,3G,Upload,2.71,na
254836,3G,Download,0.27,-71
254837,3G,Upload,0.64,-71
254852,3G,Download,1.82,-75
254853,3G,Upload,2.32,-85
254855,3G,Download,1.97,-71
254868,3G,Download,1.5,-97
254869,3G,Download,2.3,-105
254876,3G,Download,0.81,-71
254877,3G,Download,0.67,-75
254888,3G,Upload,1.28,-91
254901,3G,Upload,1.0,-95
254902,3G,Upload,0.63,-103
254909,3G,Upload,2.38,-73
254910,3G,Upload,0.0,-75
254928,3G,Download,0.62,-97
254929,3G,Upload,0.25,-97
254966,3G,Download,7.2,-65
254969,3G,Upload,1.17,-63
255060,3G,Download,0.34,-91
255061,3G,Download,1.08,-95
255062,3G,Upload,0.0,-93
255063,3G,Upload,1.51,-95
255212,3G,Download,0.15,-89
255220,3G,Upload,0.01,-87
255362,3G,Download,0.22,-105
255363,3G,Upload,0.29,-91
255392,3G,Download,0.89,-81
255393,3G,Download,0.92,-87
255418,3G,Upload,1.86,-83
255419,3G,Upload,0.12,-91
255451,3G,Download,0.63,-99
255452,3G,Download,0.94,-93
255453,3G,Upload,0.91,-99
255454,3G,Upload,0.02,-93
255475,3G,Download,0.19,-97
255484,3G,Download,0.28,-97
255487,3G,Download,3.38,-91
255494,3G,Download,1.43,-69
255495,3G,Download,1.25,-69
255496,3G,Upload,2.49,-71
255497,3G,Upload,2.7,-67
255581,3G,Upload,1.01,-87
255682,3G,Upload,0.37,-97
255694,3G,Download,1.54,-95
255695,3G,Download,0.05,-73
255696,3G,Upload,0.01,-93
255697,3G,Upload,1.36,-73
255698,3G,Download,0.29,-85
255699,3G,Upload,0.29,-83
255746,3G,Download,2.71,-91
255755,3G,Download,0.49,-89
255760,3G,Upload,0.81,-87
255793,3G,Upload,1.22,-77
255798,3G,Upload,0.29,-91
256010,3G,Download,0.11,-85
256011,3G,Download,0.09,-75
256012,3G,Download,0.27,-75
256013,3G,Download,1.72,-85
256014,3G,Download,1.47,-85
256015,3G,Download,1.01,-85
256016,3G,Upload,0.99,-75
256017,3G,Upload,1.65,-85
256018,3G,Upload,2.0,-85
256019,3G,Upload,2.11,-85
256020,3G,Upload,1.35,-97
256021,3G,Upload,2.09,-85
256551,3G,Download,0.52,-101
256552,3G,Download,1.88,-87
256553,3G,Download,1.21,-95
256554,3G,Upload,0.44,-97
256555,3G,Upload,0.98,-89
256628,3G,Download,0.62,-87
256629,3G,Download,2.2,-97
256630,3G,Upload,0.28,-87
256631,3G,Upload,0.93,-85
256789,3G,Download,0.19,-61
256790,3G,Download,0.26,-59
256791,3G,Upload,2.09,-61
256792,3G,Upload,2.18,-59
256809,3G,Download,3.71,-71
256851,3G,Download,2.83,-77
256852,3G,Download,0.78,-81
256853,3G,Download,7.55,-73
256854,3G,Download,3.51,-77
256855,3G,Download,8.23,-67
256856,3G,Download,2.21,-75
256884,3G,Upload,3.31,-83
256885,3G,Upload,0.14,-81
256886,3G,Upload,1.9,-73
256887,3G,Upload,2.04,-75
256888,3G,Upload,3.73,-77
256889,3G,Upload,0.47,-75
256967,3G,Download,1.63,-95
256968,3G,Upload,0.3,-95
257098,3G,Upload,0.09,-99
257142,3G,Download,0.41,-99
257159,3G,Download,0.13,-73
257160,3G,Download,0.72,-71
257169,3G,Upload,0.28,-83
257186,3G,Upload,0.48,-73
257187,3G,Upload,1.13,-71
257280,3G,Download,1.69,-93
257286,3G,Upload,0.4,-93
257387,3G,Download,0.56,-87
257388,3G,Upload,0.79,-85
257444,3G,Download,1.57,-75
257445,3G,Download,1.15,-71
257446,3G,Download,2.72,-69
257447,3G,Download,2.35,-93
257448,3G,Download,0.14,-95
257449,3G,Download,1.06,-95
257450,3G,Download,4.82,-79
257451,3G,Download,6.94,-79
257452,3G,Download,9.28,-81
257453,3G,Download,6.52,-83
257454,3G,Download,11.18,-81
257532,3G,Upload,1.28,-83
257533,3G,Upload,1.04,-83
257778,3G,Upload,1.82,-87
257802,3G,Download,0.26,-65
257803,3G,Download,1.22,-71
257804,3G,Upload,1.1,-69
257805,3G,Upload,2.05,-71
257849,3G,Download,0.73,-97
257850,3G,Upload,0.01,-97
257859,3G,Download,1.21,-91
257860,3G,Download,0.61,-97
257861,3G,Download,3.7,-85
257862,3G,Download,0.38,-97
257866,3G,Download,23.9,-65
257886,3G,Upload,5.78,-65
257943,3G,Upload,0.96,-91
257948,3G,Download,3.05,-101
257949,3G,Download,8.04,-95
257958,3G,Download,0.46,na
257960,3G,Upload,0.0,-113
257985,3G,Download,0.53,-75
257986,3G,Upload,0.79,-75
258092,3G,Upload,0.01,-105
258093,3G,Upload,0.02,-107
258094,3G,Upload,0.16,-107
258095,3G,Upload,0.07,-95
258096,3G,Upload,1.04,-97
258097,3G,Upload,0.72,-91
258098,3G,Upload,1.03,-97
258099,3G,Upload,0.8,-99
258100,3G,Upload,0.12,-99
258101,3G,Upload,0.62,-97
258102,3G,Upload,0.93,-95
258103,3G,Upload,0.28,-103
258104,3G,Upload,0.31,-103
258105,3G,Upload,0.2,-103
258106,3G,Upload,0.42,-99
258107,3G,Upload,0.08,-105
258108,3G,Upload,0.14,-105
258110,3G,Upload,0.01,-103
258111,3G,Upload,1.12,-89
258112,3G,Upload,0.27,-103
258113,3G,Upload,0.55,-85
258114,3G,Upload,0.64,-93
258115,3G,Upload,0.02,-103
258116,3G,Upload,0.94,-93
258117,3G,Upload,1.04,-99
258181,3G,Download,8.1,-75
258182,3G,Download,8.23,-73
258183,3G,Download,0.09,-59
258184,3G,Upload,0.48,-67
258185,3G,Upload,1.34,-63
258186,3G,Upload,1.27,-57
258235,3G,Download,3.74,-93
258240,3G,Upload,0.3,-93
258264,3G,Download,6.19,-75
258265,3G,Download,4.19,-77
258266,3G,Download,3.1,-71
258267,3G,Upload,3.34,-71
258268,3G,Upload,3.38,-81
258269,3G,Upload,2.83,-75
258278,3G,Download,1.07,-91
258279,3G,Upload,0.41,-91
258291,3G,Download,3.22,-91
258292,3G,Download,7.02,-71
258299,3G,Download,0.2,-97
258300,3G,Download,0.26,-75
258301,3G,Download,0.09,-97
258302,3G,Download,4.08,-85
258303,3G,Download,1.24,-77
258304,3G,Download,1.38,-97
258305,3G,Download,3.07,-69
258306,3G,Download,0.06,-97
258307,3G,Download,0.13,-97
258308,3G,Download,0.51,-91
258309,3G,Download,0.18,-85
258310,3G,Download,2.21,-65
258311,3G,Download,0.73,-91
258316,3G,Upload,1.19,-85
258317,3G,Upload,1.31,-73
258324,3G,Upload,0.07,-91
258325,3G,Upload,0.95,-71
258326,3G,Upload,0.61,-97
258327,3G,Upload,0.92,-85
258328,3G,Upload,1.5,-91
258329,3G,Upload,1.03,-79
258330,3G,Upload,0.6,-75
258331,3G,Upload,0.29,-77
258332,3G,Upload,0.32,-85
258333,3G,Upload,0.3,-99
258334,3G,Upload,0.18,-85
258335,3G,Upload,1.21,-67
258336,3G,Upload,0.46,-97
258345,3G,Upload,1.58,-93
258363,3G,Upload,1.73,-75
258398,3G,Download,0.24,-77
258399,3G,Upload,0.3,-77
258537,3G,Download,9.9,na
258538,3G,Download,5.13,-57
258539,3G,Upload,2.08,na
258540,3G,Upload,1.34,-57
258553,3G,Upload,0.01,-99
258582,3G,Download,5.53,-81
258583,3G,Download,0.4,-87
258590,3G,Upload,3.09,-81
258591,3G,Upload,0.04,-83
258606,3G,Download,2.34,-73
258607,3G,Download,3.76,-91
258608,3G,Download,0.99,-91
258609,3G,Download,0.0,na
258610,3G,Upload,3.06,-75
258611,3G,Upload,2.64,-85
258612,3G,Upload,0.07,-91
258613,3G,Upload,1.91,-85
258653,3G,Download,3.88,-113
258654,3G,Download,0.19,-89
258655,3G,Download,0.65,-81
258656,3G,Upload,1.09,-89
258657,3G,Upload,1.73,-81
258672,3G,Download,0.86,-95
258673,3G,Download,1.58,-95
258676,3G,Download,0.78,-85
258677,3G,Download,0.93,-85
258678,3G,Download,1.12,-79
258679,3G,Download,0.64,-75
258680,3G,Download,5.64,-75
258683,3G,Download,0.93,-105
258685,3G,Download,3.86,-87
258687,3G,Download,0.52,-91
258688,3G,Download,4.94,-95
258689,3G,Download,0.28,-89
258691,3G,Download,4.95,-89
258697,3G,Download,1.11,-75
258698,3G,Download,0.41,-79
258699,3G,Download,0.65,-77
258700,3G,Download,0.26,-81
258701,3G,Download,0.24,-81
258702,3G,Download,0.2,-83
258703,3G,Download,0.58,-85
258704,3G,Download,2.74,-57
258705,3G,Download,0.27,na
258706,3G,Download,1.0,na
258707,3G,Download,0.45,na
258708,3G,Download,0.43,na
258709,3G,Download,0.48,na
258710,3G,Download,0.24,-65
258711,3G,Download,0.68,-63
258712,3G,Download,0.88,-61
258713,3G,Download,0.7,-67
258722,3G,Upload,0.5,-93
258723,3G,Upload,0.96,-93
258726,3G,Upload,0.55,-85
258727,3G,Upload,0.78,-83
258728,3G,Upload,2.15,-79
258729,3G,Upload,1.64,-75
258730,3G,Upload,2.16,-75
258733,3G,Upload,0.68,-101
258735,3G,Upload,1.56,-85
258737,3G,Upload,0.66,-91
258738,3G,Upload,0.93,-95
258739,3G,Upload,0.05,-89
258741,3G,Upload,0.76,-89
258747,3G,Upload,0.47,-83
258748,3G,Upload,0.2,-79
258749,3G,Upload,0.31,-81
258750,3G,Upload,0.35,-81
258751,3G,Upload,0.42,-83
258752,3G,Upload,0.37,-81
258753,3G,Upload,0.3,-85
258754,3G,Upload,0.0,-57
258755,3G,Upload,0.8,na
258756,3G,Upload,0.77,na
258757,3G,Upload,0.36,na
258758,3G,Upload,0.3,na
258759,3G,Upload,0.27,na
258760,3G,Upload,0.53,-65
258761,3G,Upload,0.77,-63
258762,3G,Upload,0.63,-75
258763,3G,Upload,0.66,-67
258832,3G,Upload,0.74,-87
259046,3G,Download,0.81,-83
259047,3G,Download,1.31,-77
259048,3G,Download,0.34,-77
259049,3G,Download,0.16,-75
259050,3G,Download,0.5,-93
259051,3G,Download,0.64,-85
259052,3G,Download,1.21,-95
259053,3G,Upload,0.02,-81
259054,3G,Upload,0.02,-77
259055,3G,Upload,1.44,-77
259056,3G,Upload,0.56,-75
259057,3G,Upload,0.09,-83
259058,3G,Upload,1.17,-79
