,Technology,Test_type,Data Speed(Mbps),Signal_strength
1748,3G,Download,0.23,-85
1749,3G,Download,0.69,-85
1750,3G,Download,1.14,-85
1751,3G,Upload,1.25,-85
1752,3G,Upload,1.21,-85
1753,3G,Upload,1.26,-85
1754,3G,Upload,1.53,-85
1755,3G,Download,1.3,-67
1763,3G,Upload,0.3,-63
1789,3G,Download,5.31,-71
1863,3G,Upload,0.11,-79
1864,3G,Upload,0.51,-91
1896,3G,Download,0.3,-81
1899,3G,Upload,0.22,-83
1903,3G,Upload,3.81,-75
1904,3G,Upload,1.2,-67
1905,3G,Upload,0.17,-79
1906,3G,Upload,0.14,-77
1907,3G,Upload,4.33,-73
1908,3G,Upload,1.9,-63
1909,3G,Upload,0.18,-81
1925,3G,Download,0.13,-95
1926,3G,Download,0.4,-95
1950,3G,Download,2.4,-75
1962,3G,Download,1.9,-91
1966,3G,Download,3.73,-83
1977,3G,Download,0.31,-91
1981,3G,Download,2.46,-87
2027,3G,Upload,0.45,-93
2031,3G,Upload,1.12,-83
2044,3G,Upload,1.19,-87
2173,3G,Download,0.25,-97
2174,3G,Upload,0.3,-91
2179,3G,Upload,1.05,-89
2180,3G,Upload,0.13,-87
2181,3G,Upload,0.19,-93
2182,3G,Upload,3.12,-79
2183,3G,Upload,0.68,-87
2188,3G,Upload,2.06,-97
2189,3G,Upload,0.22,-77
2190,3G,Upload,0.48,-95
2191,3G,Upload,1.45,-83
2192,3G,Upload,0.94,-81
2193,3G,Upload,1.7,-75
2194,3G,Upload,2.63,-69
2195,3G,Upload,1.73,-83
2196,3G,Upload,1.79,-67
2197,3G,Upload,1.29,-93
2206,3G,Upload,1.61,-93
2207,3G,Upload,0.47,-95
2208,3G,Upload,0.73,-97
2221,3G,Download,1.41,-91
2222,3G,Upload,1.41,-91
2287,3G,Download,0.12,-85
2289,3G,Upload,1.11,-83
2291,3G,Download,0.42,-97
2292,3G,Download,2.47,-89
2293,3G,Upload,1.04,-91
2294,3G,Upload,1.29,-87
2312,3G,Download,0.02,-89
2313,3G,Download,0.0,-85
